"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Federated Matrix BO4 - PRELINE- Murray Halberg (Tropicana)"
,"Scope",,
,"Rows"
,,"Level 1 - Residential Areas",,"Level 1"
,,"Apartment A88",,"Apartment A88"
,,"Apartment A89",,"Apartment A89"
,,"Apartment A90",,"Apartment A90"
,,"Apartment A91",,"Apartment A91"
,,"Apartment A92",,"Apartment A92"
,,"Apartment A93",,"Apartment A93"
,,"Apartment A94",,"Apartment A94"
,,"Apartment A95",,"Apartment A95"
,,"Apartment A96",,"Apartment A96"
,,"Apartment A97",,"Apartment A97"
,,"Apartment A98",,"Apartment A98"
,,"Apartment A99",,"Apartment A99"
,,"Apartment A100",,"Apartment A100"
,,"Level 2 - Residential Areas",,"Level 2"
,,"Apartment B88",,"Apartment B88"
,,"Apartment B89",,"Apartment B89"
,,"Apartment B90",,"Apartment B90"
,,"Apartment B91",,"Apartment B91"
,,"Apartment B92",,"Apartment B92"
,,"Apartment B93",,"Apartment B93"
,,"Apartment B94",,"Apartment B94"
,,"Apartment B95",,"Apartment B95"
,,"Apartment B96",,"Apartment B96"
,,"Apartment B97",,"Apartment B97"
,,"Apartment B98",,"Apartment B98"
,,"Apartment B99",,"Apartment B99"
,,"Apartment B100",,"Apartment B100"
,,"Apartment B101",,"Apartment B101"
,,"Apartment B102",,"Apartment B102"
,,"Apartment B103",,"Apartment B103"
,,"Apartment B104",,"Apartment B104"
,,"Apartment B105",,"Apartment B105"
,,"Apartment B106",,"Apartment B106"
,,"Apartment B107",,"Apartment B107"
,,"Apartment B108",,"Apartment B108"
,,"Apartment B109",,"Apartment B109"
,,"Apartment B110",,"Apartment B110"
,,"Apartment B111",,"Apartment B111"
,,"Level 3 - Residential Areas",,"Level 3"
,,"Apartment C88",,"Apartment C88"
,,"Apartment C89",,"Apartment C89"
,,"Apartment C90",,"Apartment C90"
,,"Apartment C91",,"Apartment C91"
,,"Apartment C92",,"Apartment C92"
,,"Apartment C93",,"Apartment C93"
,,"Apartment C94",,"Apartment C94"
,,"Apartment C95",,"Apartment C95"
,,"Apartment C96",,"Apartment C96"
,,"Apartment C97",,"Apartment C97"
,,"Apartment C98",,"Apartment C98"
,,"Apartment C99",,"Apartment C99"
,,"Apartment C100",,"Apartment C100"
,,"Apartment C101",,"Apartment C101"
,,"Apartment C102",,"Apartment C102"
,,"Apartment C103",,"Apartment C103"
,,"Apartment C104",,"Apartment C104"
,,"Apartment C105",,"Apartment C105"
,,"Apartment C106",,"Apartment C106"
,,"Apartment C107",,"Apartment C107"
,,"Level 4 - Residential Areas",,"Level 4"
,,"Apartment D88",,"Apartment D88"
,,"Apartment D89",,"Apartment D89"
,,"Apartment D90",,"Apartment D90"
,,"Apartment D91",,"Apartment D91"
,,"Apartment D92",,"Apartment D92"
,,"Apartment D93",,"Apartment D93"
,,"Apartment D94",,"Apartment D94"
,,"Apartment D95",,"Apartment D95"
,,"Apartment D96",,"Apartment D96"
,,"Apartment D97",,"Apartment D97"
,,"Apartment D98",,"Apartment D98"
,,"Apartment D99",,"Apartment D99"
,,"Apartment D100",,"Apartment D100"
,,"Apartment D101",,"Apartment D101"
,,"Apartment D102",,"Apartment D102"
,,"Apartment D103",,"Apartment D103"
,,"Apartment D104",,"Apartment D104"
,,"Apartment D105",,"Apartment D105"
,,"Apartment D106",,"Apartment D106"
,,"Apartment D107",,"Apartment D107"
,"Columns"
,,"ZYJ - Steel Stud & Strapping",,"Residential Areas","Building B04","Steel Stud and Wall Strapping"
,,"Aotea - First Fix",,"First Fix","stage 4"
,,"IPL - First Fix",,"residential areas","Plumbing 1st Fix","stage 4"
,,"Thermal Solutions - First Fix",,"First Fix:","b04"
,,"Nurse Call Solutions - First Fix",,"stage 4","Pre Wire"
,,"South Pacific Fire - Fire Alarm - First Fix",,"fire alarm - first fix","b04"
,,"South Pacific Fire - Sprinkler - First Fix",,"Fire Sprinkler - First Fix","b04"
,,"Global Linings - Insultaion",,"Insulation","Residential Areas","B04"
,,"Ryman - Preline (residential Areas)",,"residential areas","Preline"

"Federated Matrix B04 - Postline "
,"Scope",,
,"Rows"
,,"Level 1 - Residential Areas",,"Level 1"
,,"Apartment A88",,"Apartment A88"
,,"Apartment A89",,"Apartment A89"
,,"Apartment A90",,"Apartment A90"
,,"Apartment A91",,"Apartment A91"
,,"Apartment A92",,"Apartment A92"
,,"Apartment A93",,"Apartment A93"
,,"Apartment A94",,"Apartment A94"
,,"Apartment A95",,"Apartment A95"
,,"Apartment A96",,"Apartment A96"
,,"Apartment A97",,"Apartment A97"
,,"Apartment A98",,"Apartment A98"
,,"Apartment A99",,"Apartment A99"
,,"Apartment A100",,"Apartment A100"
,,"Level 2 - Residential Areas",,"Level 2"
,,"Apartment B88",,"Apartment B88"
,,"Apartment B89",,"Apartment B89"
,,"Apartment B90",,"Apartment B90"
,,"Apartment B91",,"Apartment B91"
,,"Apartment B92",,"Apartment B92"
,,"Apartment B93",,"Apartment B93"
,,"Apartment B94",,"Apartment B94"
,,"Apartment B95",,"Apartment B95"
,,"Apartment B96",,"Apartment B96"
,,"Apartment B97",,"Apartment B97"
,,"Apartment B98",,"Apartment B98"
,,"Apartment B99",,"Apartment B99"
,,"Apartment B100",,"Apartment B100"
,,"Apartment B101",,"Apartment B101"
,,"Apartment B102",,"Apartment B102"
,,"Apartment B103",,"Apartment B103"
,,"Apartment B104",,"Apartment B104"
,,"Apartment B105",,"Apartment B105"
,,"Apartment B106",,"Apartment B106"
,,"Apartment B107",,"Apartment B107"
,,"Apartment B108",,"Apartment B108"
,,"Apartment B109",,"Apartment B109"
,,"Apartment B110",,"Apartment B110"
,,"Apartment B111",,"Apartment B111"
,,"Level 3 - Residential Areas",,"Level 3"
,,"Apartment C88",,"Apartment C88"
,,"Apartment C89",,"Apartment C89"
,,"Apartment C90",,"Apartment C90"
,,"Apartment C91",,"Apartment C91"
,,"Apartment C92",,"Apartment C92"
,,"Apartment C93",,"Apartment C93"
,,"Apartment C94",,"Apartment C94"
,,"Apartment C95",,"Apartment C95"
,,"Apartment C96",,"Apartment C96"
,,"Apartment C97",,"Apartment C97"
,,"Apartment C98",,"Apartment C98"
,,"Apartment C99",,"Apartment C99"
,,"Apartment C100",,"Apartment C100"
,,"Apartment C101",,"Apartment C101"
,,"Apartment C102",,"Apartment C102"
,,"Apartment C103",,"Apartment C103"
,,"Apartment C104",,"Apartment C104"
,,"Apartment C105",,"Apartment C105"
,,"Apartment C106",,"Apartment C106"
,,"Apartment C107",,"Apartment C107"
,,"Level 4 - Residential Areas",,"Level 4"
,,"Apartment D88",,"Apartment D88"
,,"Apartment D89",,"Apartment D89"
,,"Apartment D90",,"Apartment D90"
,,"Apartment D91",,"Apartment D91"
,,"Apartment D92",,"Apartment D92"
,,"Apartment D93",,"Apartment D93"
,,"Apartment D94",,"Apartment D94"
,,"Apartment D95",,"Apartment D95"
,,"Apartment D96",,"Apartment D96"
,,"Apartment D97",,"Apartment D97"
,,"Apartment D98",,"Apartment D98"
,,"Apartment D99",,"Apartment D99"
,,"Apartment D100",,"Apartment D100"
,,"Apartment D101",,"Apartment D101"
,,"Apartment D102",,"Apartment D102"
,,"Apartment D103",,"Apartment D103"
,,"Apartment D104",,"Apartment D104"
,,"Apartment D105",,"Apartment D105"
,,"Apartment D106",,"Apartment D106"
,,"Apartment D107",,"Apartment D107"
,"Columns"
,,"Global Linings - Lining",,"residential areas","b04"
,,"Warrior Construction - Finishing Lines",,"b04 fitout & services","architrave & skirting"
,,"The Tile Shoppe - Tiling",,"building b04 - on site qa"
,,"Paint it Perfect - Painting",,"painting","b04"
,,"Aotea Electric - Electrical 2nd Fix",,"second fix","stage 4"
,,"IPL - Plumbing 2nd Fix",,"plumbing 2nd fix","stage 4"
,,"Nurse Call Solutions - Fit Off",,"stage 4","fit off"
,,"TSL - Tropicana / Murray Halberg",,"second fix:","b04"
,,"South Pacific Fire - Fire Alarm - Second Fix",,"fire alarm - second fix","b04"
,,"South Pacific Fire - Fire Sprinkler - Second Fix",,"fire sprinkler - second fix","b04"
,,"Warrior Construction - Doors",,"doors","residential areas","b04 fitout & services"
,,"Warrior Construction - Fire Doors",,"residential areas","b04 fitout & services","fire doors"
,,"Warrior Construction - Hardware",,"hardware install","residential areas","b04 fitout & services"
,,"Ryman Postline Final Checks",,"residential areas","building b04","post-line"

"B04 Finishing Matrix"
,"Scope",,
,"Rows"
,,"Level 1","dynamic","level 1"
,,"Apartment A88",,"apartment a88"
,,"Apartment A89",,"apartment a89"
,,"Apartment A90",,"apartment a90"
,,"Apartment A91",,"apartment a91"
,,"Apartment A92",,"apartment a92"
,,"Apartment A93",,"apartment a93"
,,"Apartment A94",,"apartment a94"
,,"Apartment A95",,"apartment a95"
,,"Apartment A96",,"apartment a96"
,,"Apartment A97",,"apartment a97"
,,"Apartment A98",,"apartment a98"
,,"Apartment A99",,"apartment a99"
,,"Apartment A100",,"apartment a100"
,,"Level 2","dynamic","level 2"
,,"Apartment B88",,"apartment b88"
,,"Apartment B89",,"apartment b89"
,,"Apartment B90",,"apartment b90"
,,"Apartment B91",,"apartment b91"
,,"Apartment B92",,"apartment b92"
,,"Apartment B93",,"apartment b93"
,,"Apartment B94",,"apartment b94"
,,"Apartment B95",,"apartment b95"
,,"Apartment B96",,"apartment b96"
,,"Apartment B97",,"apartment b97"
,,"Apartment B98",,"apartment b98"
,,"Apartment B99",,"apartment b99"
,,"Apartment B100",,"apartment b100"
,,"Apartment B101",,"apartment b101"
,,"Apartment B102",,"apartment b102"
,,"Apartment B103",,"apartment b103"
,,"Apartment B104",,"apartment b104"
,,"Apartment B105",,"apartment b105"
,,"Apartment B106",,"apartment b106"
,,"Apartment B108",,"apartment b108"
,,"Apartment B109",,"apartment b109"
,,"Apartment B110",,"apartment b110"
,,"Apartment B111",,"apartment b111"
,,"Level 3","dynamic","level 3"
,,"Apartment C88",,"apartment c88"
,,"Apartment C89",,"apartment c89"
,,"Apartment C90",,"apartment c90"
,,"Apartment C91",,"apartment c91"
,,"Apartment C92",,"apartment c92"
,,"Apartment C93",,"apartment c93"
,,"Apartment C94",,"apartment c94"
,,"Apartment C95",,"apartment c95"
,,"Apartment C96",,"apartment c96"
,,"Apartment C97",,"apartment c97"
,,"Apartment C98",,"apartment c98"
,,"Apartment C99",,"apartment c99"
,,"Apartment C100",,"apartment c100"
,,"Apartment C101",,"apartment c101"
,,"Apartment C102",,"apartment c102"
,,"Apartment C103",,"apartment c103"
,,"Apartment C104",,"apartment c104"
,,"Apartment C105",,"apartment c105"
,,"Apartment C106",,"apartment c106"
,,"Apartment C107",,"apartment c107"
,,"Level 4","dynamic","level 4"
,,"Apartment D88",,"apartment d88"
,,"Apartment D89",,"apartment d89"
,,"Apartment D90",,"apartment d90"
,,"Apartment D91",,"apartment d91"
,,"Apartment D92",,"apartment d92"
,,"Apartment D93",,"apartment d93"
,,"Apartment D94",,"apartment d94"
,,"Apartment D95",,"apartment d95"
,,"Apartment D96",,"apartment d96"
,,"Apartment D97",,"apartment d97"
,,"Apartment D98",,"apartment d98"
,,"Apartment D99",,"apartment d99"
,,"Apartment D100",,"apartment d100"
,,"Apartment D101",,"apartment d101"
,,"Apartment D102",,"apartment d102"
,,"Apartment D103",,"apartment d103"
,,"Apartment D104",,"apartment d104"
,,"Apartment D105",,"apartment d105"
,,"Apartment D106",,"apartment d106"
,,"Apartment D107",,"apartment d107"
,"Columns"
,,"Flooring",,"flooring"
,,"Exterior",,"exterior"
,,"Lounge/Dining Area",,"lounge/dining area"
,,"Kitchen",,"kitchen"
,,"Bedroom",,"bedroom"
,,"Bathroom",,"bathroom"
,,"Ensuite",,"ensuite"
,,"Laundry",,"laundry"
,,"Hallway",,"hallway"
,,"Toilet / WC",,"toilet / wc"
,,"Client Extras",,"client extras"
,,"Final check before locking the door",,"final check before locking the door"

