"Rich Type","Id","Warnings","type","name","values","prefix","postfix","Usage Count","User Addable","Template Name","Template Id"
"checkpoint-status",,"","checklist","9. Dry Film Thickness (DFT) Test completed Floor 0.9mm","",,,0,"Yes","_TEMP","5a7c9755-78e4-44f6-b3df-3e2343a7412d"
"label","7d5a94ef-a5ea-5c95-acc8-dc2ca3ac17e5","","note","Inspection: electronic testing",,,
"select","6385d37b-d1d8-534a-8fbb-9a7a98dd6177","","dropdown","Inspected By:","Minjeong Hong,Hwanho Chung,Caspar Chong,Philip Chong,Mario Denaro,Bol Ajak,Ji Kang",,

"checklist-sectioned",,"","checklist","Time Sheet","",,,0,"Yes","Add Time Sheet","640c4356-14f2-40dc-8718-f3b7ed911fa4"
"checkpoint-group",,"","section","Time Sheet"
"checkpoint-no-status",,"","checkpoint","Details"
"date","358a9b47-ead9-5456-a1e1-ae811ee71b71","","date","DATE:",,,
"text","d73a027e-5c90-51d3-9784-3b0a684741bf","","textbox","CLIENT:",,,
"text","e62e95ab-9f04-5ebe-97f6-afd04857ca8f","","textbox","SITE:",,,
"text","70eff495-beac-57d1-91a6-7af04287f686","","textbox","SITE INST. NO:",,,
"checkpoint-no-status",,"","checkpoint","DETAILS OF WORKS"
"text","ed27d601-4483-56bf-b174-18b16c776384","","textbox","Description of works carried out:",,,
"text","dc12f911-273f-5fe2-b541-b2135d71d9af","","textbox","Reasons for works that have been carried out:",,,
"text","f07ec8bc-0c35-5373-aeac-06b9024f91a5","","textbox","Areas where works have been carried out:",,,
"checkpoint-no-status",,"","checkpoint","Photo of area before works carried out"
"checkpoint-no-status",,"","checkpoint","Photo of area after works carried out"
"checkpoint-no-status",,"","checkpoint","LABOUR"
"text","1ea12a43-9dfd-524f-8604-a708c032e591","","textbox","(1) Dates:",,,
"number","46db3fec-8a9c-5e31-9844-669bfc657069","","number","(1) HOURS",,,
"text","0f36567e-c9d5-5829-a961-98f8017df139","","textbox","(2) Dates:",,,
"number","2438ce9b-9eda-5355-8f66-032858081eff","","number","(2) HOURS",,,
"text","5bf328b0-b66d-57db-9bf0-12cd47868b96","","textbox","(3) Dates:",,,
"number","0f33c82c-e0bf-5d14-8e4d-ad0c21887fae","","number","(3) HOURS",,,
"text","37665a02-e163-568c-96e5-487c48d5ec3d","","textbox","(4) Dates:",,,
"number","50f58fb9-a620-5bf9-be5a-4156a407c782","","number","(4) HOURS",,,
"text","2102b37a-af2b-5569-86c6-187be10a90d7","","textbox","(5) Dates:",,,
"number","18a81e8e-40ae-5778-85ee-82fc1bc04f00","","number","(5) HOURS",,,
"text","6d905afa-d698-59cc-ba62-5496e5315cba","","textbox","(6) Dates:",,,
"number","d9ac01ea-f819-53c6-b59a-774dea903e19","","number","(6) HOURS",,,
"checkpoint-no-status",,"","checkpoint","MATERIALS"
"text","c1b7e367-227c-5bd7-9310-ba3f5894c07d","","textbox","(1) MATERIAL USED",,,
"number","a6565112-e2ed-545a-bfb7-6e35b1dc18ca","","number","(1) QTY",,,
"text","60820fde-1b46-5fa8-bc93-9ba3f40adf02","","textbox","(2) MATERIAL USED",,,
"number","18bf9512-d503-5d62-915b-b9a210dbd0e8","","number","(2) QTY",,,
"text","af4a4381-9318-5260-a6b6-e88942a13c43","","textbox","(3) MATERIAL USED",,,
"number","2548040c-251a-5a6a-9cb4-dbe8c3e99d57","","number","(3) QTY",,,
"text","8c799498-3036-5ddb-902e-53765a81737f","","textbox","(4) MATERIAL USED",,,
"number","c61dc077-2c0a-5a9f-84a6-8dd1dc276f38","","number","(4) QTY",,,
"text","357e4401-c30c-5745-9477-31b11b859fea","","textbox","(5) MATERIAL USED",,,
"number","7c5b5ea8-c194-5b56-a65f-5d87d92ec5d2","","number","(5) QTY",,,
"text","44036c4b-0b2f-597e-9b8d-7df90681da86","","textbox","(6) MATERIAL USED",,,
"number","b9a0fa8c-effa-5361-aa4b-e896fc6ad9c7","","number","(6) QTY",,,
"checkpoint-no-status",,"","checkpoint","ACCEPTANCE"
"label","d1b8bac4-f705-51ae-9022-52a9b3e699d9","","note","Teammembers Project P/L",,,
"text","2107e0ee-5b3c-5b98-8081-91c5c593d719","","textbox","NAME",,,
"holdpoint",,"","signoff","SIGNATURE"

"checklist-sectioned",,"","checklist","Tiling ITP","",,,42,"Yes","Tiling ITP","c10325bf-6961-4230-af7c-9f185e8272d7"
"checkpoint-group",,"","section","1. CHECK DRAWING"
"checkpoint-status",,"","checkpoint","Confirm current drawing, specification and revision #"
"label","bd9c64e1-3a92-5782-9e79-03c7e31f70f6","","note","Inspection: admin",,,
"select","c185029d-cf35-5061-911f-48d4b1a8a1cd","","dropdown","Inspected By:","Minjeong Hong,Hwanho Chung,Caspar Chong,Philip Chong,Mario Denaro,Bol Ajak,Ji Kang",,
"checkpoint-group",,"","section","2. SUBSTRATE PREP - WALL"
"checkpoint-status",,"","checkpoint","Inspect for wall quality to accept tiles and ensure that substrate free from debris"
